Year,Place,Age Group,Race and Ethnicity,Count of Alcohol Consumption,Rate of Alcohol Consumption,Count of Diabetes,Rate of Diabetes,Count of Hypertension,Rate of Hypertension,Count of Smoking,Rate of Smoking,Count of Low Weight Gain,Rate of Low Weight Gain,Count of Inadequate Prenatal Care,Rate of Inadequate Prenatal Care,Count of Other Risks,Rate of Other Risks
2015,Aggregated Region: Suburban Cook County,10 to 14,All Race/Eth,0,0,0,0,0,0,0,0,*,*,8,*,0,0
2015,Aggregated Region: Suburban Cook County,15 to 17,All Race/Eth,0,0,6,*,19,*,11,*,149,42.9,190,54.8,30,8.6
2015,Aggregated Region: Suburban Cook County,45 to 54,All Race/Eth,0,0,16,*,23,22.5,0,0,44,43.1,28,27.5,40,39.2
2015,Aggregated Region: Suburban Cook County,55+,All Race/Eth,0,0,0,0,0,0,*,*,0,0,*,*,0,0
2015,Aggregated Region: Suburban Cook County,10 to 14,Hispanic,0,0,0,0,0,0,0,0,*,*,*,*,0,0
2015,Aggregated Region: Suburban Cook County,10 to 14,NH Black,0,0,0,0,0,0,0,0,*,*,*,*,0,0
2015,Aggregated Region: Suburban Cook County,10 to 14,NH Multiracial,0,0,0,0,0,0,0,0,0,0,*,*,0,0
2015,Aggregated Region: Suburban Cook County,15 to 17,Hispanic,0,0,6,*,10,*,*,*,69,39.4,84,48,18,*
2015,Aggregated Region: Suburban Cook County,15 to 17,NH Black,0,0,0,0,7,*,5,*,62,49.2,84,66.7,10,*
2015,Aggregated Region: Suburban Cook County,15 to 17,NH Multiracial,0,0,0,0,0,0,*,*,*,*,*,*,0,0
2015,Aggregated Region: Suburban Cook County,15 to 17,NH White,0,0,0,0,*,*,*,*,15,*,17,*,*,*
2015,Aggregated Region: Suburban Cook County,18 to 19,NH Asian/PI,0,0,0,0,0,0,*,*,*,*,*,*,0,0
2015,Aggregated Region: Suburban Cook County,18 to 19,NH Multiracial,0,0,0,0,0,0,*,*,6,*,8,*,*,*
2015,Aggregated Region: Suburban Cook County,18 to 19,NH White,0,0,5,*,11,*,10,*,37,30.8,61,50.8,16,*
2015,Aggregated Region: Suburban Cook County,20 to 24,NH Asian/PI,0,0,9,*,*,*,0,0,54,39.4,56,40.9,16,*
2015,Aggregated Region: Suburban Cook County,20 to 24,NH Multiracial,0,0,*,*,*,*,*,*,15,*,17,*,6,*
